hour,mw
1,14434.16004
2,14032.63891
3,14001.78911
4,13495.67816
5,12695.67528
6,12418.1962
7,11569.17233
8,11066.78437
9,10682.73406
10,10486.1915
11,10577.0028
12,10882.72615
13,11256.65739
14,11619.15197
15,12345.19428
16,12709.2446
17,13170.57207
18,13305.17743
19,13297.17213
20,13165.79073
21,13078.694
22,13148.59611
23,14381.82289
24,14635.81134
25,14434.16004
26,14032.63891
27,14001.78911
28,13495.67816
29,12695.67528
30,12418.1962
31,11569.17233
32,11066.78437
33,10682.73406
34,10486.1915
35,10577.0028
36,10882.72615
37,11257.37729
38,11619.15197
39,12345.19428
40,12709.2446
41,13170.57207
42,13305.17743
43,13297.17213
44,13165.79073
45,13078.694
46,13135.94091
47,14381.82289
48,14635.81134
49,14434.16004
50,14032.63891
51,14001.78911
52,13495.67816
53,12695.67528
54,12269.01154
55,11522.77461
56,11072.14786
57,10849.98249
58,10811.03645
59,11154.00861
60,12030.3724
61,13465.6675
62,14385.99622
63,14862.39436
64,15235.40763
65,15622.8032
66,15600.75204
67,15551.16115
68,15517.13839
69,15392.19924
70,15497.02952
71,16668.19492
72,17213.77135
73,16345.07545
74,15519.13117
75,15370.67696
76,14619.4909
77,13528.35958
78,12269.01154
79,11522.77461
80,11072.14786
81,10849.98249
82,10811.03645
83,11154.00861
84,12030.3724
85,13465.61689
86,14385.99622
87,14862.39436
88,15235.40763
89,15622.8032
90,15600.75204
91,15551.16115
92,15517.13839
93,15392.19924
94,15480.47279
95,16668.19492
96,17213.77135
97,16345.07545
98,15519.13117
99,15370.67696
100,14619.4909
101,13528.35958
102,12269.01154
103,11522.77461
104,11072.14786
105,10849.98249
106,10811.03645
107,11154.00861
108,12030.3724
109,13465.50146
110,14385.99622
111,14862.39436
112,15235.40763
113,15622.8032
114,15600.75204
115,15551.16115
116,15517.13839
117,15392.19924
118,15463.46394
119,16668.19492
120,17213.77135
121,16345.07545
122,15519.13117
123,15370.67696
124,14619.4909
125,13528.35958
126,12269.01154
127,11522.77461
128,11072.14786
129,10849.98249
130,10811.03645
131,11154.00861
132,12030.3724
133,13465.0536
134,14385.99622
135,14862.39436
136,15235.40763
137,15622.8032
138,15600.75204
139,15551.16115
140,15517.13839
141,15392.19924
142,15446.00002
143,16668.19492
144,17213.77135
145,16345.07545
146,15519.13117
147,15370.67696
148,14619.4909
149,13528.35958
150,12418.1962
151,11569.17233
152,11066.78437
153,10682.73406
154,10486.1915
155,10577.0028
156,10882.72615
157,11255.98601
158,11619.15197
159,12345.19428
160,12709.2446
161,13170.57207
162,13305.17743
163,13297.17213
164,13165.79073
165,13078.694
166,13066.48384
167,14381.76622
168,14635.81134
169,14434.16004
170,14032.63891
171,14001.78911
172,13495.67816
173,12695.67528
174,12418.1962
175,11569.17233
176,11066.78437
177,10682.73406
178,10486.1915
179,10577.0028
180,10882.72615
181,11253.93352
182,11619.15197
183,12345.19428
184,12709.2446
185,13170.57207
186,13305.17743
187,13297.17213
188,13165.79073
189,13078.694
190,13051.93669
191,14381.70954
192,14635.81134
193,14434.16004
194,14032.63891
195,14001.78911
196,13495.67816
197,12695.67528
198,12269.01154
199,11522.77461
200,11072.14786
201,10849.98249
202,10811.03645
203,11154.00861
204,12030.3724
205,13459.29638
206,14385.99622
207,14862.39436
208,15235.40763
209,15622.8032
210,15600.75204
211,15551.16115
212,15517.13839
213,15392.19924
214,15390.95406
215,16668.0209
216,17213.77135
217,16345.07545
218,15519.13117
219,15370.67696
220,14619.4909
221,13528.35958
222,12269.01154
223,11522.77461
224,11072.14786
225,10849.98249
226,10811.03645
227,11154.00861
228,12030.3724
229,13458.55238
230,14385.99622
231,14862.39436
232,15235.40763
233,15622.8032
234,15600.75204
235,15551.16115
236,15517.13839
237,15392.19924
238,15372.12989
239,16667.34768
240,17213.77135
241,16345.07545
242,15519.13117
243,15370.67696
244,14619.4909
245,13528.35958
246,12269.01154
247,11522.77461
248,11072.14786
249,10849.98249
250,10811.03645
251,11154.00861
252,12030.3724
253,13455.22382
254,14385.99622
255,14862.39436
256,15235.40763
257,15622.8032
258,15600.75204
259,15551.16115
260,15517.13839
261,15392.19924
262,15354.89624
263,16665.59404
264,17213.77135
265,16345.07545
266,15519.13117
267,15370.67696
268,14619.4909
269,13528.35958
270,12269.01154
271,11522.77461
272,11072.14786
273,10849.98249
274,10811.03645
275,11154.00861
276,12030.3724
277,13452.27328
278,14385.99622
279,14862.39436
280,15235.40763
281,15622.8032
282,15600.75204
283,15551.16115
284,15517.13839
285,15392.19924
286,15337.70381
287,16663.47448
288,17213.77135
289,16345.07545
290,15519.13117
291,15370.67696
292,14619.4909
293,13528.35958
294,12269.01154
295,11522.77461
296,11072.14786
297,10849.98249
298,10811.03645
299,11154.00861
300,12030.3724
301,13449.67622
302,14385.99622
303,14862.39436
304,15235.40763
305,15622.8032
306,15600.75204
307,15551.16115
308,15517.13839
309,15392.19924
310,15319.87636
311,16660.97657
312,17213.77135
313,16345.07545
314,15519.13117
315,15370.67696
316,14619.4909
317,13528.35958
318,12418.1962
319,11569.17233
320,11066.78437
321,10682.73406
322,10486.1915
323,10577.0028
324,10882.72615
325,11240.34213
326,11619.15197
327,12345.19428
328,12709.2446
329,13170.57207
330,13305.17743
331,13297.17213
332,13165.79073
333,13078.694
334,12965.75857
335,14373.18596
336,14635.81134
337,14434.16004
338,14032.63891
339,14001.78911
340,13495.67816
341,12695.67528
