hour,mw
1,4572.969131
2,4798.183504
3,4433.169486
4,4380.80705
5,4389.703055
6,3913.141425
7,3956.842236
8,3935.106111
9,4035.978017
10,4252.538439
11,4483.006566
12,4541.236004
13,4950.66259
14,5182.606216
15,4758.27707
16,4288.376034
17,3877.726576
18,3458.273222
19,3375.04503
20,3473.600831
21,3629.562302
22,3815.86353
23,3477.180341
24,3750.797414
25,3989.374683
26,4063.590478
27,3806.568935
28,3686.707249
29,3646.135301
30,3413.099938
31,3643.668596
32,3820.513538
33,4085.841923
34,4360.9844
35,4620.089362
36,4779.004656
37,5206.940083
38,5533.313378
39,5675.532885
40,6000.522513
41,5728.303748
42,5720.285338
43,5784.245983
44,5931.600707
45,6284.630574
46,6832.810516
47,6204.1817
48,6858.330362
49,7280.88224
50,7555.212883
51,7134.614376
52,7255.738405
53,7181.135888
54,6960.420344
55,6931.931355
56,7019.878087
57,7087.10282
58,7268.422647
59,7401.335153
60,7686.667272
61,8227.618564
62,8464.124998
63,8706.130187
64,8652.740873
65,8123.96586
66,8262.620291
67,8186.752344
68,8295.887982
69,8655.452923
70,9287.179886
71,8741.269203
72,8683.702515
73,10800.67865
74,11999.27207
75,11117.38648
76,11061.30195
77,10976.08971
78,11021.96261
79,10939.40423
80,10891.85128
81,10789.76152
82,10725.5575
83,10282.90184
84,10424.33148
85,10881.64227
86,10926.57331
87,10692.9506
88,9621.881963
89,8727.122842
90,8381.580051
91,8010.441464
92,7811.207525
93,7911.836206
94,8164.944814
95,7118.833974
96,6919.236937
97,8314.255898
98,8871.123787
99,8259.614203
100,7792.364051
101,7581.541931
102,7434.130111
103,7155.160671
104,7006.946016
105,6827.705432
106,6562.081025
107,6332.961761
108,6392.486033
109,6693.303045
110,6787.332844
111,6878.528491
112,6324.171915
113,5690.784384
114,5508.125616
115,5316.456933
116,5256.205735
117,5374.926584
118,5672.355493
119,5260.242551
120,5222.945516
121,6410.403466
122,7088.43048
123,6654.371655
124,6551.660456
125,6423.662339
126,6403.443628
127,6152.374191
128,5986.342064
129,5744.054331
130,5552.460132
131,5346.423312
132,5352.498304
133,5509.06033
134,5509.535932
135,5152.448895
136,4374.78518
137,3789.893396
138,3370.195218
139,3131.748885
140,2949.165376
141,2902.07619
142,3024.111478
143,3082.577347
144,3226.408146
145,4079.743713
146,4570.82881
147,4394.054749
148,4548.721824
149,4487.86893
150,4315.393632
151,4309.495808
152,4375.071559
153,4494.321113
154,4656.749933
155,4628.027198
156,4774.305279
157,4993.704687
158,5255.569301
159,4857.562335
160,4099.097859
161,3431.568018
162,2960.823559
163,2737.513855
164,2663.740201
165,2698.440727
166,2926.528159
167,3137.361498
168,3638.887815
169,3874.574453
170,4182.294858
171,4024.394023
172,4190.880115
173,4289.959103
174,4027.802906
175,4138.223966
176,4186.074607
177,4300.762692
178,4521.218732
179,4784.653261
180,4912.843665
181,5306.823691
182,5638.144542
183,5657.289455
184,5689.130936
185,5526.260665
186,5550.489472
187,5714.114047
188,5851.025382
189,6069.68809
190,6399.818626
191,6049.806599
192,6675.869051
193,7188.222792
194,7460.290031
195,7032.144335
196,7016.033948
197,6947.359062
198,6694.299299
199,6656.395196
200,6617.49219
201,6544.366614
202,6489.21166
203,6318.549675
204,6542.333715
205,6907.340569
206,7018.504125
207,6771.511021
208,5919.465056
209,5256.707482
210,4979.220838
211,4752.974799
212,4658.685586
213,4656.148039
214,5088.999555
215,4709.361043
216,4717.523039
217,5752.821418
218,6240.770851
219,5671.954789
220,5435.973161
221,5323.694989
222,5354.450492
223,5197.304755
224,5196.988763
225,5226.800682
226,5270.215798
227,5364.137936
228,5529.7714
229,5770.612081
230,5833.12305
231,5677.41868
232,4997.610769
233,4403.836536
234,4113.653741
235,3907.58521
236,3821.327132
237,3905.390061
238,4172.403622
239,4026.617135
240,4032.254802
241,4936.008838
242,5481.546318
243,5241.260016
244,5485.555648
245,5373.008137
246,5462.233037
247,5356.51484
248,5451.686643
249,5583.948697
250,5775.035768
251,5711.821559
252,5836.786402
253,6135.322809
254,6304.803303
255,5921.841571
256,4947.00117
257,4317.756448
258,3930.01244
259,3784.531781
260,3731.387556
261,3913.041509
262,4198.55648
263,4096.397381
264,4108.951678
265,4923.248741
266,5333.267747
267,4915.779231
268,4729.595872
269,4552.506913
270,4488.730946
271,4297.55394
