hour,mw
1,895.4492296
2,716.4492279
3,677.8628369
4,615.8313632
5,603.9403968
6,519.9119053
7,329.1480167
8,216.1970089
9,199.6775502
10,153.5285556
11,162.757339
12,299.291487
13,524.0442623
14,988.0426235
15,1287.960407
16,1440.39534
17,1766.994243
18,1836.833878
19,1709.720954
20,1519.522127
21,1586.95705
22,1359.240346
23,1361.689556
24,1282.934704
25,1064.908147
26,918.2567759
27,753.400289
28,629.918137
29,478.7860739
30,368.8276449
31,237.8998356
32,216.20523
33,150.6487225
34,97.63507932
35,127.4105225
36,271.2129159
37,486.7852682
38,935.0029799
39,1200.597335
40,1361.321018
41,1648.340713
42,1705.508308
43,1590.779701
44,1436.469185
45,1532.433992
46,1291.618479
47,1309.784129
48,1242.373974
49,1022.299481
50,884.5315093
51,720.6954462
52,602.3599047
53,459.4368974
54,350.6952664
55,222.0927761
56,207.3734918
57,144.3496537
58,120.5805992
59,269.8916891
60,693.3977843
61,1812.279331
62,2931.934138
63,2902.158702
64,2538.532023
65,2165.60205
66,1938.355539
67,1821.114832
68,1518.937017
69,1531.202968
70,1457.580962
71,1439.649388
72,1247.764002
73,907.0903756
74,664.2730044
75,470.6086492
76,399.7506169
77,325.0936616
78,239.3251673
79,152.0144506
80,102.1670845
81,81.9261436
82,91.77814126
83,231.1348215
84,624.9092126
85,1672.524601
86,2639.6507
87,2462.971265
88,2036.733678
89,1692.614497
90,1508.062149
91,1432.882605
92,1181.442554
93,1248.358452
94,1277.601727
95,1322.969312
96,1157.763417
97,830.5459051
98,612.8870391
99,436.2452783
100,379.5130581
101,308.1261987
102,225.6668483
103,138.0846203
104,88.7519446
105,69.79185695
106,80.75969684
107,217.2339741
108,608.5115624
109,1636.221948
110,2551.167192
111,2276.611324
112,1819.813944
113,1482.619449
114,1313.507023
115,1262.43361
116,1040.756366
117,1133.541157
118,1203.709083
119,1287.354679
120,1124.730962
121,799.9533309
122,604.0292069
123,431.3815448
124,374.1967253
125,303.0077793
126,222.6893926
127,136.6004096
128,87.31866154
129,67.54275651
130,77.81281872
131,209.7983543
132,594.1827691
133,1616.196082
134,2511.083014
135,2215.169148
136,1736.991614
137,1400.685724
138,1234.139569
139,1195.338495
140,977.0938198
141,1076.868337
142,1164.101562
143,1258.326967
144,1113.299304
145,787.2297942
146,593.3404692
147,421.561524
148,369.8432946
149,299.6988999
150,218.2586275
151,132.6114695
152,82.10038382
153,61.56921762
154,44.75597035
155,75.40785761
156,194.4440793
157,361.6638483
158,696.414907
159,837.5876089
160,912.2465923
161,1164.257236
162,1204.898383
163,1191.629617
164,1079.280617
165,1216.69648
166,990.7713774
167,1057.820385
168,1038.674363
169,870.5053295
170,786.2602383
171,631.1661616
172,529.2657414
173,400.7480229
174,304.5604802
175,183.1719564
176,178.7731361
177,120.8191164
178,73.05451814
179,108.1809982
180,244.6017869
181,424.6174537
182,797.7238346
183,984.948964
184,1072.571683
185,1313.191341
186,1361.126384
187,1320.14621
188,1185.031025
189,1315.599936
190,1104.646108
191,1139.469585
192,1100.981654
193,918.9485555
194,821.9895102
195,665.0937798
196,554.5112352
197,423.9295594
198,323.0857229
199,199.0504363
200,190.5331185
201,131.4440289
202,111.2195192
