hour,mw
1,3271.428988
2,3428.58161
3,3165.886602
4,3110.953709
5,3103.06257
6,2766.731303
7,2789.12022
8,2772.311602
9,2833.498339
10,2959.732218
11,3090.119971
12,3135.930895
13,3412.757783
14,3577.802512
15,3345.960721
16,3074.616142
17,2803.714575
18,2522.90762
19,2461.194751
20,2528.462638
21,2635.591673
22,2761.696038
23,2508.08197
24,2712.188752
25,2874.650751
26,2934.38001
27,2750.192516
28,2652.302109
29,2617.994012
30,2441.777555
31,2590.847212
32,2702.700071
33,2866.936256
34,3034.695921
35,3184.942062
36,3291.066055
37,3575.726661
38,3792.47044
39,3904.3182
40,4142.562434
41,3974.52954
42,3983.140435
43,4025.502729
44,4126.334911
45,4351.426887
46,4694.463229
47,4240.014143
48,4673.676752
49,4929.543632
50,5099.50279
51,4798.616269
52,4818.258478
53,4753.02898
54,4579.61446
55,4538.730981
56,4575.003543
57,4592.648594
58,4674.700528
59,4711.714428
60,4881.451415
61,5213.335559
62,5364.536237
63,5516.675422
64,5494.804225
65,5165.167127
66,5250.636489
67,5201.27626
68,5268.207232
69,5481.523571
70,5845.026371
71,5426.240878
72,5389.065459
73,6633.486963
74,7322.095593
75,6768.415878
76,6682.058458
77,6602.817976
78,6597.675201
79,6523.040195
80,6486.633622
81,6409.61832
82,6362.477602
83,6081.403257
84,6173.775323
85,6457.298704
86,6512.852327
87,6426.987649
88,5919.60739
89,5420.358991
90,5274.659605
91,5087.737536
92,5001.243531
93,5081.307958
94,5255.308287
95,4588.959712
96,4480.655186
97,5371.904499
98,5748.449504
99,5337.004501
100,5054.000803
101,4918.789519
102,4827.521731
103,4652.861471
104,4564.672133
105,4451.513115
106,4293.36963
107,4132.294866
108,4187.641361
109,4392.38596
110,4472.097776
111,4550.495378
112,4250.093203
113,3857.897576
114,3763.848866
115,3647.819513
116,3620.419924
117,3705.638274
118,3898.990783
119,3591.273405
120,3568.589918
121,4356.133823
122,4802.03414
123,4491.088479
124,4406.03569
125,4314.754505
126,4290.424023
127,4126.051325
128,4023.661388
129,3868.407619
130,3743.746692
131,3599.601346
132,3621.702334
133,3746.397965
134,3770.239637
135,3574.319339
136,3091.841837
137,2697.796543
138,2421.815328
139,2259.057425
140,2139.410123
141,2111.245677
142,2198.255214
143,2223.959053
144,2325.385392
145,2919.494195
146,3260.41993
147,3121.198303
148,3206.837433
149,3157.876811
150,3030.569089
151,3020.883835
152,3060.133152
153,3129.745575
154,3219.90199
155,3187.984318
156,3287.878052
157,3449.317241
158,3627.457518
159,3408.998419
160,2946.837237
161,2500.75445
162,2180.225358
163,2023.73049
164,1973.030629
165,1999.094128
166,2158.593039
