hour,solar_generation_kwh
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0.000507588
14,0.34662251
15,0.573494605
16,0.55343571
17,0.543619658
18,0.521690485
19,0.391095599
20,0.349884556
21,0.266647999
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0.000569796
38,0.267199099
39,0.437213357
40,0.424809837
41,0.336009292
42,0.338300408
43,0.305879835
44,0.241663313
45,0.20167791
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0.239512441
63,0.433932017
64,0.444617891
65,0.507179973
66,0.544112369
67,0.567249849
68,0.511996165
69,0.402296399
70,0.000133851
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0.230359523
87,0.383427801
88,0.436038797
89,0.395244031
90,0.387062212
91,0.238416906
92,0.249106545
93,0.200920443
94,2.48E-04
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0.061594303
111,0.18971972
112,0.379588259
113,0.32186329
114,0.295004973
115,0.212135585
116,0.142788904
117,0.206732556
118,0.00060324
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0.000461031
134,0.269274297
135,0.506002379
136,0.524387601
137,0.57473983
138,0.57710972
139,0.575041804
140,0.476139876
141,0.29710817
142,0.00019938
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0.000489366
158,0.284969227
159,0.432052363
160,0.528311485
161,0.513252839
162,0.547035659
163,0.54075348
164,0.448182742
165,0.353493171
166,7.30E-03
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0.143070371
183,0.283146774
184,0.375361306
185,0.469858418
186,0.524462335
187,0.524524895
188,0.452551757
189,0.350878654
190,0.019052697
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
