hour,wind_generation_kwh
1,0.448033737
2,0.429717787
3,0.390551866
4,0.362353059
5,0.316726789
6,0.27643863
7,0.256107078
8,0.238934191
9,0.211708935
10,0.180418053
11,0.17995479
12,0.194025411
13,0.213311337
14,0.231514176
15,0.237555091
16,0.246011318
17,0.292388351
18,0.388663401
19,0.496094973
20,0.630419114
21,0.726997384
22,0.789855833
23,0.830283946
24,0.86853927
25,0.915779367
26,0.9209971
27,0.901967974
28,0.895113869
29,0.890289647
30,0.89497125
31,0.897546528
32,0.892251852
33,0.901687525
34,0.905201666
35,0.912980178
36,0.912305251
37,0.924088322
38,0.917823876
39,0.929275802
40,0.93124822
41,0.925993652
42,0.910444976
43,0.884316356
44,0.847688547
45,0.793145252
46,0.771549807
47,0.795671095
48,0.797157664
49,0.78393661
50,0.763548832
51,0.72001475
52,0.670707234
53,0.614044466
54,0.553143269
55,0.536381653
56,0.535241383
57,0.52543244
58,0.495480333
59,0.489614094
60,0.500567763
61,0.518052075
62,0.546006526
63,0.569908382
64,0.603831671
65,0.614667675
66,0.616970837
67,0.616985843
68,0.62334647
69,0.630825011
70,0.621624579
71,0.615112694
72,0.6013771
73,0.579581155
74,0.55834486
75,0.538226159
76,0.522506492
77,0.511024244
78,0.498713875
79,0.480973243
80,0.462321158
81,0.444397374
82,0.419717044
83,0.397485414
84,0.382363898
85,0.371234783
86,0.345004127
87,0.284530921
88,0.243672518
89,0.249178338
90,0.263820523
91,0.267403734
92,0.262419111
93,0.261710637
94,3.41E-01
95,0.443583809
96,0.526678703
97,0.581788304
98,0.621556007
99,0.648175042
100,0.653389676
101,0.636773799
102,0.622272213
103,0.615179528
104,0.605730943
105,0.570710631
106,0.517409035
107,0.481925515
108,0.474593352
109,0.469720718
110,0.436406323
111,0.375424872
112,0.36207122
113,0.383524485
114,0.404501474
115,0.436079408
116,0.457690301
117,0.447360731
118,0.471106083
119,0.489153147
120,0.453696682
121,0.393558664
122,0.307695452
123,0.236375347
124,0.20534932
125,0.195158545
126,0.221600306
127,0.271090917
128,0.324377686
129,0.36955753
130,0.441667267
131,0.539605105
132,0.623319357
133,0.665190714
134,0.691103813
135,0.685154941
136,0.633267825
137,0.578881001
138,0.543779167
139,0.547652541
140,0.576793262
141,0.626492833
142,0.728466857
143,0.777811699
144,0.773822942
145,0.756714293
146,0.740509552
147,0.711993967
148,0.665691757
149,0.603868413
150,0.559025595
151,0.501194643
152,0.438151807
153,0.382410073
154,0.354425986
155,0.341251313
156,0.361859536
157,0.381345358
158,0.373684909
159,0.336549419
160,0.316141713
161,0.356755676
162,0.388054216
163,0.409900623
164,0.446941452
165,0.51422967
166,6.20E-01
167,0.689692694
168,0.716747455
169,0.701222683
170,0.69130835
171,0.692015584
172,0.685545837
173,0.660675891
174,0.618948622
175,0.5741023
176,0.537988998
177,0.517244001
178,0.496546008
179,0.463780442
180,0.438682169
181,0.41788889
182,0.393758586
183,0.345576817
184,0.284372265
185,0.250140496
186,0.244027599
187,0.242807383
188,0.244626588
189,0.243139009
190,0.242743781
191,0.278553483
192,0.323381973
193,0.386640063
194,0.418916198
195,0.383770718
196,0.343070353
197,0.303235777
198,0.275288845
199,0.26208008
200,0.257283153
201,0.25608325
202,0.251283229
203,0.239006303
204,0.240588401
205,0.256060441
206,0.243973822
207,0.167275077
208,0.110056286
209,0.096417067
210,0.101930294
211,0.106592351
212,0.11376615
213,0.161362513
214,0.283483151
215,0.358767321
216,0.388625187
217,0.402777728
218,0.411024218
219,0.418424974
220,0.430164713
221,0.452186351
222,0.479364754
223,0.509263255
224,0.537533537
225,0.564666763
226,0.591445945
227,0.621394042
228,0.628485494
229,0.615790279
230,0.599389372
231,0.54328054
232,0.512051504
233,0.477361757
234,0.467672944
235,0.48862246
236,0.49913142
237,0.489315074
238,0.531250783
239,0.55243524
240,0.533149272
241,0.48281445
242,0.418372758
243,0.370985792
244,0.304684151
245,0.238103841
246,0.184890619
247,0.126396119
248,0.077864693
249,0.054577813
250,0.049618056
251,0.060821493
252,0.073072235
253,0.085957066
254,0.092236786
255,0.072962981
256,0.058891336
257,0.062964585
258,0.080353012
259,0.100611002
260,0.152323619
261,0.255426064
262,0.428778723
263,0.542545296
264,0.608370182
265,0.683468896
266,0.729271833
267,0.761900569
268,0.793919519
269,0.800154643
270,0.800541232
271,0.810691346
272,0.822192565
273,0.833824783
274,0.844919006
275,0.844928987
276,0.826972852
277,0.803165627
278,0.745760813
279,0.670264605
280,0.631367568
281,0.58294709
282,0.512994626
283,0.414655069
284,0.363714175
285,0.359622776
286,0.355840982
287,0.341549447
288,0.328340653
289,0.317168543
290,0.300462837
291,0.28667178
292,0.263031766
293,0.242370397
294,0.293787108
295,0.414451598
296,0.550608708
297,0.624806722
298,0.68663776
299,0.71268046
300,0.752298561
301,0.800880651
302,0.833522324
303,0.846263123
304,0.870054317
305,0.895067012
306,0.928234709
307,0.960057382
308,0.96355597
309,0.959255915
310,0.966040148
311,0.964165258
312,0.954564519
313,0.930043946
314,0.905918439
315,0.872635867
316,0.844365419
317,0.810935321
318,0.778050977
319,0.755056272
320,0.715921128
321,0.688153569
322,0.668153664
323,0.651560941
324,0.628927555
325,0.606807753
326,0.582519475
327,0.559978971
328,0.535491052
329,0.520803254
330,0.503407635
331,0.490094557
332,0.479596761
333,0.47672379
334,0.487571493
335,0.507865768
336,0.498597973
337,0.471229669
338,0.453248131
339,0.421885479
340,0.404562817
341,0.408344877
342,0.407830484
343,0.411167537
344,0.417346669
345,0.430017926
346,0.435347414
347,0.433227572
348,0.432674111
349,0.433438338
350,0.421291178
351,0.405487507
352,0.400734026
353,0.395362124
354,0.394433681
355,0.395485286
356,0.390451093
357,0.395895112
358,0.41925815
359,0.441363544
360,0.441535651
361,0.423654505
362,0.40373962
363,0.386029559
364,0.383159724
365,0.394154919
366,0.401781589
367,0.396170487
368,0.374940594
369,0.344496335
370,0.313901259
371,0.289718195
372,0.288837696
373,3.00E-01
374,0.303715799
375,0.303989705
376,0.299232496
377,0.318332347
378,0.373520739
379,0.448292786
380,0.557332263
381,0.689377236
382,0.834481288
383,0.89728358
384,0.917812757
385,0.920391522
386,0.914739679
387,0.901466825
388,0.887989531
389,0.868395033
390,0.846918548
391,0.822647354
392,0.800514553
393,0.776175535
394,0.756244288
395,0.737067486
396,0.723053708
397,0.706393611
398,0.693515687
399,0.676386508
400,0.656097041
401,0.642674276
402,0.655846252
403,0.698414304
404,0.743810139
405,0.823784588
406,0.875406801
407,0.911402461
408,0.938692172
409,0.950202873
410,0.952939069
411,0.949451123
412,0.942586525
413,0.936591173
414,0.935398611
415,0.920640374
416,0.909006766
417,0.906033427
418,0.895859352
419,0.885759426
420,0.876541773
421,0.855298156
422,0.833948361
423,0.796256737
424,0.740478164
425,0.691209709
426,0.661291573
427,0.633790566
428,0.607613731
429,0.572781068
430,0.53583835
431,0.523637563
432,0.490057534
433,0.43067009
434,0.384976105
435,0.350395204
436,0.304626421
437,0.281747711
438,0.286168154
439,0.283140915
440,0.276604715
441,0.293788188
442,0.32008101
443,0.359249291
444,0.401052703
445,0.427900344
446,0.427877817
447,0.409097866
448,0.398983179
449,0.417734457
450,0.453575451
451,0.490234217
452,0.5018518
453,0.540543232
454,0.598886028
455,0.643328253
456,0.673868366
457,0.689153826
458,0.716557643
459,0.725730445
460,0.733786199
461,0.737753017
462,0.717386725
463,0.701727577
464,0.700423017
465,0.69049921
466,0.663449951
467,0.641174746
468,0.610109985
469,0.587485171
470,0.540505746
471,0.468569291
472,0.40866477
473,0.34790019
474,0.289092366
475,0.25702673
476,0.224376198
477,0.183156439
478,0.187910955
479,0.194455477
480,0.156087639
481,0.121662621
482,0.09993118
483,0.061236161
484,0.044067284
485,0.038708715
486,0.036884317
487,0.04765783
488,0.082763567
489,0.135151214
490,0.189630877
491,0.232396083
492,0.295859762
493,0.343956384
494,0.35666081
495,0.379432097
496,0.414334633
497,0.438653037
498,0.448831905
499,0.455869072
500,0.46029494
501,0.464053953
502,0.477762393
503,0.492127466
504,0.495892967
505,0.492784135
506,0.490125464
507,0.484409432
508,0.480859971
509,0.481843905
510,0.487369009
511,0.488381002
512,0.499313494
513,0.519020508
514,0.538957221
515,0.5539276
516,0.564725805
517,0.571051049
518,0.534894672
519,0.460400457
520,0.394710292
521,0.356492721
522,0.345400911
523,0.342618633
524,0.361052619
525,0.400318367
526,0.496717093
527,0.568464616
528,0.596390903
529,0.618252568
530,0.628070767
531,0.636511055
532,0.645862582
533,0.65273832
534,0.648926668
535,0.647164068
536,0.643525341
537,0.635586009
538,0.631031389
539,0.64000866
540,0.661054972
541,0.691362281
542,0.727884667
543,0.748900386
544,0.755334989
545,0.764890495
546,0.792398343
547,0.810694677
548,0.841880685
549,0.870048984
550,0.897699168
551,0.914532588
552,0.90962721
553,0.91095188
554,0.900791912
555,0.904919138
556,0.901076458
557,0.894383047
558,0.863282972
559,0.820632372
560,0.773183471
561,0.75113449
562,0.746127864
563,0.688195094
564,0.621665888
565,0.548505837
566,0.509945076
567,0.479728544
568,0.477167538
569,0.486265671
570,0.491063322
571,0.496969036
572,0.495730003
573,0.507368005
574,0.586039224
575,0.679296426
576,0.739123396
577,0.754745641
578,0.751179245
579,0.738191053
580,0.736418334
581,0.726876134
582,0.705799721
583,0.677591789
584,0.641878025
585,0.61914239
586,0.594705314
587,0.569981018
588,0.546505317
589,0.50648023
590,0.429343829
591,0.34612642
592,0.307986082
593,0.250669984
594,0.224281032
595,0.204737176
596,0.172431586
597,0.144424368
598,0.135951402
599,0.122997681
600,0.112252037
601,0.100706861
602,0.092217173
603,0.093832246
604,0.075408766
605,0.067800072
606,0.063844254
607,0.054927142
608,0.047817731
609,0.038509734
610,0.038158759
611,0.035461969
612,0.036767029
613,0.04440347
614,0.046439782
615,0.035189887
616,0.031313461
617,0.038107082
618,0.052517711
619,0.079877996
620,0.13027787
621,0.20245826
622,0.295852611
623,0.368382329
624,0.428315039
625,0.478726594
626,0.520697952
627,0.522895688
628,0.532926966
629,0.564117688
630,0.61186927
631,0.645506027
632,0.659477747
633,0.653582844
634,0.663262274
635,0.688973516
636,0.726698271
637,0.756286416
638,0.760905361
639,0.766905745
640,0.751803218
641,0.768958184
642,0.784084445
643,0.789934602
644,0.814694138
645,0.854056117
646,0.893808767
647,0.917258182
648,0.926333578
649,0.919860034
650,0.895201272
651,0.869903922
652,0.843557932
653,0.809886651
654,0.762107804
655,0.705537431
656,0.650479478
657,0.584702105
658,0.478232539
659,0.369046062
660,0.272867473
661,0.198298178
662,0.151354011
663,0.124032572
664,0.119531808
665,0.132196691
666,0.1792729
667,0.244352257
668,0.358414016
669,0.535232079
670,0.667124207
671,0.781056894
672,0.85913312
673,0.892807695
674,0.91940374
675,0.945680167
676,0.951895826
677,0.940938763
678,0.931069396
679,0.918512758
680,0.903872575
681,0.884676507
682,0.855135528
683,0.81961857
684,0.784155906
685,0.747268281
686,0.685517658
687,0.569008212
688,0.507143377
689,0.483416853
690,0.472206638
691,0.453474502
692,0.435013817
693,0.449526811
694,0.53872197
695,0.647412637
696,0.69784083
697,0.674882181
698,0.681622475
699,0.686526819
700,0.688894995
701,0.674112934
702,0.674378304
703,0.658217355
704,0.645661887
705,0.649673141
706,0.660049372
707,0.661733647
708,0.663768834
709,0.633181757
710,0.563030698
711,0.513612147
712,0.482592957
713,0.459962545
714,0.449250801
715,0.441238308
716,0.431207393
717,0.410663645
718,0.382032355
719,0.348194412
720,0.298623041
721,0.25089118
722,0.223564321
723,0.214962882
724,0.250292153
725,0.323063247
726,0.421389417
727,0.507659348
728,0.588936999
729,0.672681341
730,0.724899146
731,0.756797183
732,0.77764934
733,0.782309439
734,0.736664909
735,0.634812653
736,0.546594364
737,0.503505173
738,0.477980454
739,0.503814653
740,0.552669716
741,0.608399161
742,0.704994494
743,0.78773778
744,0.822207312
745,0.845072101
746,0.860871565
747,0.872292037
748,0.872106698
749,0.869652726
750,0.870272639
751,0.867225334
752,0.843391054
753,0.821192537
754,0.797246763
755,0.785863996
756,0.81342477
757,0.840125798
758,0.842802089
759,0.806284234
760,0.770540705
761,0.761728495
762,0.737363697
763,0.710463283
764,0.691193779
765,0.694448863
766,0.711661503
767,0.729454483
768,0.732451244
769,0.709125278
770,0.676034375
771,0.639603749
772,0.592366357
773,0.526724279
774,0.45653965
775,0.354725834
776,0.271621327
777,0.241096352
778,0.212026498
779,0.185917055
780,0.172780099
781,0.161925967
782,0.135685294
783,0.109159676
784,0.090595073
785,0.069783338
786,0.070790785
787,0.078681703
788,0.102481697
789,0.125892077
790,0.148609481
791,0.204154486
792,0.276847299
793,0.388517448
794,0.432013057
795,0.471527749
796,0.475914936
797,0.473575427
798,0.472956518
799,0.471861931
800,0.46123015
801,0.429403882
802,0.403726402
803,0.392425349
804,0.377756438
805,0.361092668
806,0.303905535
807,0.245507917
808,0.21180877
809,0.203170844
810,0.188381253
811,0.178041271
812,0.178521711
813,0.180210736
814,0.194733962
815,0.240925984
816,0.268477803
817,0.278713328
818,0.261477109
819,0.231950192
820,0.218380056
821,0.192790032
822,0.171511863
823,0.169674384
824,0.188126187
825,0.206567484
826,0.208068168
827,0.196772765
828,0.182172191
829,0.188802063
830,0.161862883
831,0.120864508
832,0.08880541
833,0.071564531
834,0.066935872
835,0.068722792
836,0.070158031
837,0.070702853
838,0.078288879
839,0.097850075
840,0.107033078
841,0.127343158
842,0.140979084
843,0.175331382
844,0.235288432
845,0.260042993
846,0.255133182
847,0.23986087
848,0.220478676
849,0.214895526
850,0.219514541
851,0.21501966
852,0.196545885
853,0.187911933
854,0.161678287
855,0.11170655
856,0.074851744
857,0.052929663
858,0.041349892
859,0.03882486
860,0.042553036
861,0.053150856
862,0.073918962
863,0.13221566
864,0.188052622
865,0.224177998
866,0.272138411
867,0.352288698
868,0.413157238
869,0.441359472
870,0.465024027
871,0.499431911
872,0.538605089
873,0.587690082
874,0.651388643
875,0.699982706
876,0.719251741
877,0.725864891
878,0.724037259
879,0.704139554
880,0.718137385
881,0.727802479
882,0.732296592
883,0.73804621
884,0.730130176
885,0.714546327
886,0.75538975
887,0.829098505
888,0.870628038
889,0.862963744
890,0.847949167
891,0.803346538
892,0.745116899
893,0.689061194
894,0.605580628
895,0.526923374
896,0.455731646
897,0.406435516
898,0.366821185
899,0.35014753
900,0.349041515
901,0.352027875
902,0.310714906
903,0.274697274
904,0.239724742
905,0.223936034
906,0.193270856
907,0.188806655
908,0.21258868
909,0.221435286
910,0.226360846
911,0.284898914
912,0.310947131
913,0.366165113
914,0.381507023
915,0.39722956
916,0.399195825
917,0.35747146
918,0.313923373
919,0.282828908
920,0.244380279
921,0.20496783
922,0.18472553
923,0.172714805
924,0.15740159
925,0.137915105
926,0.106301314
927,0.075790797
928,0.051148617
929,0.040278163
930,0.033718496
931,0.03398879
932,0.037654703
933,0.044725826
934,0.061435628
935,0.095351211
936,0.120150052
937,0.141424702
938,0.162682359
939,0.181582426
940,0.198590237
941,0.222716445
942,0.264927872
943,0.321824254
944,0.380030369
945,0.432579892
946,0.475166627
947,0.515527004
948,0.544250046
949,0.534132398
950,0.424114108
951,0.316121812
952,0.288090366
953,0.298526664
954,0.30384932
955,0.313435624
956,0.323599422
957,0.330946014
958,0.376641129
959,0.470808539
960,0.514985533
961,0.529243816
962,0.506051959
963,0.482553388
964,0.433592893
965,0.388606109
966,0.353424301
967,0.327456279
968,0.312415629
969,0.305170668
970,0.301051877
971,0.296292302
972,0.300535088
973,0.30397055
974,0.23909504
975,0.191541009
976,0.189450001
977,0.180011252
978,0.174749302
979,0.183184343
980,0.213837217
981,0.253248264
982,0.261454707
983,0.278732783
984,0.268978377
985,0.25110828
986,0.281672988
987,0.29972142
988,0.255729919
989,0.19304113
990,0.12808669
991,0.0869057
992,0.054474347
993,0.033379862
994,0.032480296
995,0.044727389
996,0.056291458
997,0.080751192
998,0.117330459
999,0.164844195
1000,0.184852449
1001,0.196433753
1002,0.1998908
1003,0.21033575
1004,0.237487553
1005,0.282592776
1006,0.333679143
1007,0.41471046
1008,0.539950044
1009,0.646606064
1010,0.689170979
1011,0.701696695
1012,0.695704676
1013,0.696719148
1014,0.696003547
1015,0.685132032
1016,0.684269763
1017,0.701238331
1018,0.714046925
1019,0.710071747
1020,0.704696303
1021,0.685108376
1022,0.670309584
1023,0.683562553
1024,0.688794886
1025,0.716413285
1026,0.769247896
1027,0.832797758
1028,0.873092414
1029,0.885242673
1030,0.850417578
1031,0.82318573
1032,0.829141561
1033,0.833709641
1034,0.826679777
1035,0.818027536
1036,0.787575479
1037,0.764729261
1038,0.782143753
1039,0.771473352
1040,0.791518539
1041,0.839862826
1042,0.863399372
1043,0.874786955
1044,0.876759838
1045,0.863713085
1046,0.817576499
1047,0.793536726
1048,0.796223371
1049,0.796353829
1050,0.798991107
1051,0.797161004
1052,0.784705627
1053,0.743427516
1054,0.708840665
1055,0.785763244
1056,0.824423049
1057,0.832730834
1058,0.827525181
1059,0.788529316
1060,0.701818734
1061,0.594878064
1062,0.481545275
1063,0.393741695
1064,0.333638087
1065,0.283836374
1066,0.241008917
1067,0.219962235
1068,0.200782893
1069,0.177087763
1070,0.116021635
1071,0.066703075
1072,0.06029686
1073,0.065191398
1074,0.073603707
1075,0.087125626
1076,0.095766149
1077,0.114414873
1078,0.141880418
1079,0.185438301
1080,0.206915457
1081,0.219456931
1082,0.208183798
1083,0.175136615
1084,0.139012263
1085,0.113080558
1086,0.107370501
1087,0.087403395
1088,0.088098796
